specimen,PD_A,PD_B,CS_A,CS_B
155-40__rec_align_merged.mrk.json,0.018239188664246803,0.018673919382397562,202.21607684808666,202.21269403506244
155-41__rec_align_merged.mrk.json,0.01541343197641174,0.01585365543701275,202.18619952559544,202.19951510898684
155-42__rec_align_merged.mrk.json,0.014626214666317375,0.01519864361818114,203.5214484953207,203.53504150998862
155-43__rec_align_merged.mrk.json,0.01489818361690696,0.015300574140601847,201.89805940428144,201.90413497281355
155_12_rec_align_merged.mrk.json,0.017604370017428792,0.01809782066557596,194.3652138687512,194.3569943697065
155_2__rec_align_merged.mrk.json,0.016982815431699494,0.01746167383589759,207.00995582877812,207.00811474966284
155_3__rec_align_merged.mrk.json,0.017016730595915724,0.017424178009858758,210.23314352362615,210.22979077201313
155_4__rec_align_merged.mrk.json,0.0183085305459522,0.018511774823396332,206.42250741231987,206.43594643633827
155_5__rec_align_merged.mrk.json,0.021931329118705267,0.02226573804793668,211.2749659288879,211.27182199735236
155_6__rec_align_merged.mrk.json,0.01715420505944653,0.01772606422012845,205.68792226633596,205.70240903803477
155_7__rec_align_merged.mrk.json,0.017813595359202714,0.01826315259970565,211.81210339903743,211.79530277205052
155_8__rec_align_merged.mrk.json,0.0166371802570951,0.01715434418241446,209.2188483012414,209.21945336763585
155_9__rec_align_merged.mrk.json,0.0171105066551728,0.01754144456963382,206.1620578845055,206.15459049502502
156-1__rec_align_merged.mrk.json,0.029088283232465314,0.029569323558266403,190.79636815899812,190.8056423290706
156-20__rec_align_merged.mrk.json,0.016524481486545423,0.016950724894959295,194.90351270332468,194.89854539595254
156-21__rec_align_merged.mrk.json,0.012014684964418345,0.012706145338240538,197.64093236229232,197.64734222802943
156-22__rec_align_merged.mrk.json,0.019851197403375914,0.02016463839446179,205.5503583946261,205.54307823724562
156-23__rec_align_merged.mrk.json,0.02136084597504021,0.021645060577993883,196.45754410552465,196.4745898247324
156-24__rec_align_merged.mrk.json,0.021778797134417598,0.022036141083391712,198.34274583699138,198.3270787576092
156-25__rec_align_merged.mrk.json,0.01822910366869485,0.0186255519861669,193.55687322954324,193.57220844239956
156-26__rec_align_merged.mrk.json,0.017709853765855574,0.018047603532157508,203.18730433274746,203.21786265549022
156-27__rec_align_merged.mrk.json,0.017478344809640337,0.017847422242116565,202.43711966106022,202.4439361927195
156-2__rec_align_merged.mrk.json,0.01571007134141543,0.016182206429775876,197.99516922555006,198.00018665867262
156-3__rec_align_merged.mrk.json,0.017353073894718136,0.017827283206449062,192.37485252535615,192.37472767700464
156-4__rec_align_merged.mrk.json,0.020173215958354553,0.020575154522702182,199.59570823084732,199.63261790252534
156-5__rec_align_merged.mrk.json,0.01635790443229026,0.016804453383377924,198.7290841724488,198.7265475921723
156-6__rec_align_merged.mrk.json,0.016417098705682157,0.01695888442994357,196.42211404432575,196.4213893621179
156-7__rec_align_merged.mrk.json,0.015697172675901126,0.01618308992378486,194.29835596053638,194.31022985924523
156-8__rec_align_merged.mrk.json,0.018321028499189634,0.018746087381255896,193.7083660715956,193.7098708304133
156-9__rec_align_merged.mrk.json,0.020477919003058193,0.020922026708038655,195.74771816989247,195.76937980309447
156_10__rec_align_merged.mrk.json,0.014343996906689482,0.014896141187685655,197.95753968363712,197.9852139260837
156_11__rec_align_merged.mrk.json,0.01821998984917463,0.01872615792264328,201.62675062361217,201.62688249435965
156_12__rec_align_merged.mrk.json,0.018490028130116028,0.018719136037564213,201.91986710140262,201.9187773751319
156_13__rec_align_merged.mrk.json,0.02064677443329238,0.021018482910736797,204.84182715710077,204.84088598337738
156_14__rec_align_merged.mrk.json,0.015369500234507442,0.015840868204560866,196.85192108936548,196.85364290748768
156_15__rec_align_merged.mrk.json,0.02069998041421529,0.021029184710947987,194.11883442252176,194.1335821245586
156_16__rec_align_merged.mrk.json,0.01864248218211577,0.019213605949830948,204.6493397629075,204.64426242011154
156_17__rec_align_merged.mrk.json,0.01887415487609223,0.019336141175937537,198.080880166759,198.09197304351753
156_18__rec_align_merged.mrk.json,0.021271569417990948,0.021653647551835777,199.5990873966925,199.64927108779688
156_19__rec_align_merged.mrk.json,0.019822874260502908,0.020224545563751556,202.9900901164927,202.9616140163001
157-15__rec_align_merged.mrk.json,0.014684048084783803,0.015151444018016238,200.84476339062067,200.84082065956667
157-16__rec_align_merged.mrk.json,0.019412849830937263,0.019807681131038698,201.48506074038482,201.49097220514378
157-29__rec_align_merged.mrk.json,0.02323256069921442,0.023584598464351736,193.30892414434686,193.29869049411926
157-30__rec_align_merged.mrk.json,0.02097322916409441,0.021332727373409792,201.89125087610256,201.90546919020989
157-31__rec_align_merged.mrk.json,0.01882968908648568,0.01928449521458424,195.0724089251454,195.07440289770236
157-32__rec_align_merged.mrk.json,0.01915063170890843,0.019611392608793604,201.88415165227468,201.91005651484326
157-33__rec_align_merged.mrk.json,0.02015613328464993,0.020564235616193447,193.89226341886652,193.90327591773203
157-34__rec_align_merged.mrk.json,0.015181582238730921,0.0157383188085247,201.3930750478308,201.41339106299515
157-35__rec_align_merged.mrk.json,0.042154629851342586,0.042328423698919135,189.49822361510556,189.48622289319678
157-36__rec_align_merged.mrk.json,0.016948033203448478,0.017389211619033063,199.41124913144162,199.4104861875491
157-37__rec_align_merged.mrk.json,0.02054271465219506,0.020966611964188663,200.76744344630833,200.7698863458159
157-38__rec_align_merged.mrk.json,0.02055446852390291,0.020919257749390047,196.1342733022989,196.1320612344081
157_13_rec_align_merged.mrk.json,0.014141889021221606,0.014515826004898381,200.14103226091208,200.1330094921744
