specimen,PD_A_joint,PD_B_joint,delta_PDB_minus_PDA,pairwise_ProcD_A_vs_B
157_5_rec_align_merged.mrk.json,0.021142677532223812,0.02134792335302792,0.00020524582080410844,0.004260880384894875
157_6_rec_align_merged.mrk.json,0.015060593778313534,0.01558896264316622,0.0005283688648526855,0.004227647453484075
157_7_rec_align_merged.mrk.json,0.01883490567640428,0.01936296695355944,0.0005280612771551597,0.004308347512988698
158-23__rec_align_merged.mrk.json,0.01764986915144438,0.01805766931843248,0.00040780016698810026,0.004507451877340921
158-25__rec_align_merged.mrk.json,0.015804879528143575,0.016393273372823883,0.0005883938446803079,0.004205749694840327
158-30__rec_align_merged.mrk.json,0.015148477234782404,0.015670446921833333,0.0005219696870509289,0.004186833869530795
158-31__rec_align_merged.mrk.json,0.02375196922263153,0.024114291766307035,0.00036232254367550565,0.004214796780470467
158-32__rec_align_merged.mrk.json,0.01810806197356133,0.01841399968507127,0.0003059377115099404,0.004441490236516054
158-33__rec_align_merged.mrk.json,0.01574663229976449,0.016267999658353384,0.000521367358588893,0.004219024153435987
158-34__rec_align_merged.mrk.json,0.016723690136831223,0.01712869664440974,0.00040500650757851683,0.004387292840142559
158-35__rec_align_merged.mrk.json,0.016224294085332328,0.016736518095474336,0.0005122240101420074,0.004339650375078816
158-36__rec_align_merged.mrk.json,0.01787675281626573,0.018297757069350818,0.00042100425308508674,0.004527221910062794
158-37__rec_align_merged.mrk.json,0.02047894389230416,0.020811720305116226,0.0003327764128120657,0.0043041505593831315
158-38__rec_align_merged.mrk.json,0.017620181943701706,0.018122119663246165,0.0005019377195444596,0.004524989975223529
158-39__rec_align_merged.mrk.json,0.019913599069491455,0.020377077599243534,0.0004634785297520788,0.004155321217761029
158-40__rec_align_merged.mrk.json,0.016685242675256295,0.01711080453808313,0.00042556186282683567,0.004176517386132561
158-41__rec_align_merged.mrk.json,0.023331339874446827,0.02368094355033486,0.00034960367588803345,0.004520077597540982
158-42__rec_align_merged.mrk.json,0.01614593499147964,0.016581956971502474,0.00043602198002283543,0.004354223315219989
158-43__rec_align_merged.mrk.json,0.019863531409365566,0.02021957050141271,0.0003560390920471432,0.004201742890950004
158-44__rec_align_merged.mrk.json,0.015066548371345367,0.015498084956486793,0.00043153658514142636,0.004520973241651741
158-45__rec_align_merged.mrk.json,0.017578532404128194,0.01798272521298451,0.0004041928088563164,0.004377551355167901
158-46__rec_align_merged.mrk.json,0.015182197894005245,0.015616582749996789,0.00043438485599154447,0.004219299466632952
158-47__rec_align_merged.mrk.json,0.01883969706367823,0.01925328140048542,0.00041358433680719134,0.004143758918537869
158-48__rec_align_merged.mrk.json,0.021894342417834715,0.02210389814871631,0.000209555730881595,0.0044122219437526
158-50__rec_align_merged.mrk.json,0.017495576254002353,0.01793221757661613,0.00043664132261377747,0.004157806819789588
158-8__rec_align_merged.mrk.json,0.019666726588248418,0.01996593432683457,0.0002992077385861533,0.004117742203503772
158-9__rec_align_merged.mrk.json,0.018019267365868938,0.018494091233136792,0.00047482386726785397,0.00436389513800839
158_10_rec_align_merged.mrk.json,0.015372400992677506,0.016006715524936564,0.0006343145322590584,0.0046708244791535845
158_11__rec_align_merged.mrk.json,0.01572693738727292,0.01635901215520213,0.0006320747679292131,0.004289857263099919
158_12__rec_align_merged.mrk.json,0.018688299657837006,0.019115388172832253,0.0004270885149952469,0.004474795271374706
158_13__rec_align_merged.mrk.json,0.013673028315819187,0.014314072295253714,0.0006410439794345274,0.004159383430579041
158_14__rec_align_merged.mrk.json,0.018717432144028233,0.018970342254136883,0.0002529101101086499,0.00402920719142416
158_15__rec_align_merged.mrk.json,0.01595013495136587,0.016288158960382455,0.00033802400901658536,0.0043812728032290235
158_16__rec_align_merged.mrk.json,0.014492967932956333,0.015132068727038536,0.0006391007940822029,0.004320496033044009
158_17__rec_align_merged.mrk.json,0.01813840038201144,0.01846013252685546,0.0003217321448440204,0.004551189025370128
158_18__rec_align_merged.mrk.json,0.017920383524953464,0.018421025061259932,0.0005006415363064676,0.004676294733208832
158_19__rec_align_merged.mrk.json,0.02113197700287739,0.021438849649497983,0.0003068726466205936,0.0042284087767443055
158_1_rec_align_merged.mrk.json,0.02533265993786518,0.025639312642575886,0.00030665270471070746,0.004524715464292923
158_20__rec_align_merged.mrk.json,0.014057586314748538,0.014686220537748424,0.0006286342229998854,0.004645001059503221
158_2_rec_align_merged.mrk.json,0.020358986806689024,0.0208483732877722,0.0004893864810831747,0.0047666301531130465
158_3_rec_align_merged.mrk.json,0.031229864596369263,0.031379796714511486,0.00014993211814222362,0.004448071714284671
158_49_rec_align_merged.mrk.json,0.017429744902662792,0.017762478702557025,0.00033273379989423243,0.004117903844591464
158_4_rec_align_merged.mrk.json,0.027801604495847104,0.028103555537341587,0.00030195104149448315,0.004947992999648895
158_51_rec_align_merged.mrk.json,0.01877716271660513,0.019210516882170618,0.0004333541655654888,0.0045820255400393405
158_52_rec_align_merged.mrk.json,0.019584353935244745,0.01992080879299468,0.0003364548577499335,0.004241613667392589
158_53_rec_align_merged.mrk.json,0.018332973713243234,0.018802273635835504,0.00046929992259226935,0.004196249397907405
158_54_rec_align_merged.mrk.json,0.018493811819560203,0.018944524009053953,0.0004507121894937495,0.004328212978479211
